rank,isbn,name,gender,age
1,9788936446819,수박 수영장 :안녕달 그림책,male,0_5
2,9788958284482,감기 걸린 물고기,male,0_5
2,9788966350278,바다 100층짜리 집,male,0_5
4,9788937889714,(추리 천재) 엉덩이 탐정,male,0_5
5,9788966350759,하늘 100층짜리 집,male,0_5
6,9788936454951,할머니의 여름휴가,male,0_5
7,9788925550633,오싹오싹 당근,male,0_5
7,9788989863915,지하 100층짜리 집,male,0_5
9,9791162335123,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,male,0_5
10,9788996478201,달 샤베트,male,0_5
11,9788989863786,100층짜리 집,male,0_5
11,9791160944600,별 낚시,male,0_5
13,9788937848247,(추리 천재) 엉덩이 탐정,male,0_5
13,9788952786654,네모,male,0_5
13,9791158361365,나는 개다,male,0_5
13,9791162332542,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,male,0_5
13,9791196075156,엄마는 해녀입니다,male,0_5
18,9788955824896,틀리면 어떡해?,male,0_5
18,9788992505796,팔딱팔딱 목욕탕,male,0_5
18,9791158360986,아이스크림이 꽁꽁,male,0_5
1,9788937838750,(추리 천재) 엉덩이 탐정,male,6_7
2,9788937853470,(추리 천재) 엉덩이 탐정,male,6_7
3,9788937889714,(추리 천재) 엉덩이 탐정,male,6_7
4,9791162335123,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,male,6_7
5,9788937848247,(추리 천재) 엉덩이 탐정,male,6_7
5,9791162332542,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,male,6_7
7,9791162339466,(추리 천재) 엉덩이 탐정,male,6_7
8,9788986621198,솔이의 추석 이야기,male,6_7
9,9788950957827,마법천자문 :손오공의 한자 대탐험,male,6_7
10,9788950967321,마법천자문 :손오공의 한자 대탐험,male,6_7
11,9788950945220,마법천자문 :손오공의 한자 대탐험,male,6_7
11,9788950968670,마법천자문 :손오공의 한자 대탐험,male,6_7
13,9788990611260,틀려도 괜찮아,male,6_7
14,9788950965471,마법천자문 :손오공의 한자 대탐험,male,6_7
15,9788950967024,마법천자문 :손오공의 한자 대탐험,male,6_7
15,9788966350278,바다 100층짜리 집,male,6_7
17,9788936446819,수박 수영장 :안녕달 그림책,male,6_7
17,9788950969783,마법천자문 :손오공의 한자 대탐험,male,6_7
19,9788950948030,마법천자문 :손오공의 한자 대탐험,male,6_7
20,9788950937911,마법천자문 :손오공의 한자 대탐험,male,6_7
1,9788960863163,놓지 마 과학!,male,8_13
2,9788960867093,놓지 마 과학!,male,8_13
3,9791188874149,(설민석의) 한국사 대모험,male,8_13
4,9791188874262,(설민석의) 한국사 대모험,male,8_13
5,9788960869929,놓지 마 과학!,male,8_13
6,9788960869646,놓지 마 과학!,male,8_13
6,9791162205624,놓지 마 과학! 7 - 정신이 모험에 정신 놓다,male,8_13
8,9791195794799,(설민석의) 한국사 대모험,male,8_13
9,9791188874217,(설민석의) 한국사 대모험,male,8_13
10,9788960863545,놓지 마 과학!,male,8_13
11,9788952795090,104층 나무 집,male,8_13
11,9791162207031,놓지 마 과학!,male,8_13
13,9791162203149,놓지 마 과학!,male,8_13
14,9791162202425,놓지 마 과학!,male,8_13
15,9791196025809,(설민석의) 한국사 대모험,male,8_13
15,9791196232160,(설민석의) 한국사 대모험,male,8_13
17,9791188874293,(설민석의) 한국사 대모험,male,8_13
18,9788950979300,마법천자문 :손오공의 한자 대탐험,male,8_13
19,9791196025861,(설민석의) 한국사 대모험,male,8_13
20,9791162337561,내일은 실험왕 :본격 대결 과학실험 만화,male,8_13
1,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설,male,14_19
1,9788995151204,난장이가 쏘아올린 작은 공:조세희 소설집,male,14_19
3,9788932471631,이기적 유전자 :진화론의 새로운 패러다임,male,14_19
4,9788996588733,"(정재승의) 과학콘서트 :복잡한 세상, 명쾌한 과학",male,14_19
5,9788994418513,(재밌어서 밤새읽는) 화학 이야기,male,14_19
6,9788996991342,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침,male,14_19
7,9788934939603,정의란 무엇인가,male,14_19
8,9788937473135,82년생 김지영 :조남주 장편소설,male,14_19
9,9788954427173,시간을 파는 상점 :김선영 장편소설,male,14_19
9,9788965400912,미적분으로 바라본 하루 :일상 속 어디에나 있는 수학 찾기,male,14_19
11,9791195522125,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다,male,14_19
12,9788901165813,X의 즐거움 :인생을 해석하고 지성을 자극하는 수학 여행,male,14_19
13,9788965703112,모든 순간의 물리학 =우리는 누구인가라는 물음에 대한 물리학의 대답 /Seven brief lessons on physics,male,14_19
14,9788962805901,클라우스 슈밥의 제4차 산업혁명,male,14_19
14,9791186560785,수학이 필요한 순간 :인간은 얼마나 깊게 생각할 수 있는가,male,14_19
16,9788936434267,아몬드 (양장 특별 한정판),male,14_19
16,9791157107223,너의 췌장을 먹고 싶어,male,14_19
16,9791160560510,열두 발자국,male,14_19
19,9788936433871,두근두근 내 인생 :김애란 장편소설,male,14_19
19,9788952773326,위험한 과학책 :지구 생활자들의 엉뚱한 질문에 대한 과학적 답변,male,14_19
1,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",male,20
1,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설,male,20
3,9791196067694,12가지 인생의 법칙 :혼돈의 해독제,male,20
4,9788972757573,라플라스의 마녀 :히가시노 게이고 장편소설,male,20
5,9788998274795,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,male,20
5,9791158510619,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,male,20
7,9788954608640,1Q84 :무라카미 하루키 장편소설,male,20
8,9788984373617,아가씨와 밤 :기욤 뮈소 장편소설,male,20
9,9788996991342,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침,male,20
10,9788954646123,기사단장 죽이기 :무라카미 하루키 장편소설,male,20
10,9788994702346,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법,male,20
10,9791130620459,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구,male,20
10,9791188248674,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다",male,20
14,9788954646130,기사단장 죽이기 :무라카미 하루키 장편소설,male,20
14,9788994120997,지적 대화를 위한 넓고 얕은 지식,male,20
14,9791196376406,(한권으로 정리하는) 4차산업혁명,male,20
17,9788936433598,채식주의자:한강 연작소설,male,20
17,9788954637756,개인주의자 선언 :판사 문유석의 일상유감,male,20
17,9791195522125,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다,male,20
20,9791161903538,연애의 행방,male,20
1,9791135422225,(50대 사건으로 보는) 돈의 역사 =The history of money,male,30
2,9788901230801,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계,male,30
3,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설,male,30
4,9788937889714,(추리 천재) 엉덩이 탐정,male,30
4,9788998274795,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설,male,30
6,9791130620893,돈 공부는 처음이라 :0원부터 시작하는 난생처음 부자 수업,male,30
7,9788937848247,(추리 천재) 엉덩이 탐정,male,30
8,9788954655972,여행의 이유 :김영하 산문,male,30
9,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",male,30
9,9791188248674,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다",male,30
11,9791162332542,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,male,30
12,9788937838750,(추리 천재) 엉덩이 탐정,male,30
13,9788937837654,"정리하는 뇌 :디지털 시대, 정보와 선택 과부하로 뒤엉킨 머릿속과 일상을 정리하는 기술",male,30
13,9791130620459,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구,male,30
13,9791158510619,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,male,30
16,9788937853470,(추리 천재) 엉덩이 탐정,male,30
17,9788932919676,죽음 :베르나르 베르베르 장편소설,male,30
17,9791130612249,레버리지 :자본주의 속에 숨겨진 부의 비밀,male,30
17,9791162335123,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,male,30
20,9788925566511,월급쟁이 부자로 은퇴하라 :3년 만에 30년 치 연봉을 번 김 과장의 시스템 마련법,male,30
1,9791135422225,(50대 사건으로 보는) 돈의 역사 =The history of money,male,40
2,9788937889714,(추리 천재) 엉덩이 탐정,male,40
3,9788937853470,(추리 천재) 엉덩이 탐정,male,40
4,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",male,40
4,9788937838750,(추리 천재) 엉덩이 탐정,male,40
6,9791162332542,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,male,40
7,9791162335123,추리 천재 엉덩이 탐정 6 - 수상한 탐정 사무소 사건,male,40
8,9788937848247,(추리 천재) 엉덩이 탐정,male,40
9,9788965746829,천년의 질문 :조정래 장편소설,male,40
9,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설,male,40
9,9791162540640,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가,male,40
12,9791162339466,(추리 천재) 엉덩이 탐정,male,40
13,9791187481539,앞으로 5년 한국의 미래 시나리오,male,40
14,9788901230801,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계,male,40
14,9788933870693,설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기,male,40
14,9788937473135,82년생 김지영 :조남주 장편소설,male,40
14,9788971998557,역사의 역사 =History of writing history,male,40
18,9788901229614,초예측 :세계 석학 8인에게 인류의 미래를 묻다,male,40
19,9788965746836,천년의 질문 :조정래 장편소설,male,40
20,9788934985068,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,male,40
1,9788965746836,천년의 질문 :조정래 장편소설,male,50
2,9788965746843,천년의 질문 :조정래 장편소설,male,50
3,9788965746829,천년의 질문 :조정래 장편소설,male,50
4,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",male,50
5,9788934995791,대변동 :무엇을 선택하고 어떻게 변화할 것인가,male,50
5,9788965705468,미중전쟁 :김진명 장편소설,male,50
7,9788934982975,21세기를 위한 21가지 제언 :더 나은 오늘은 어떻게 가능한가,male,50
7,9788952240491,세계에서 가장 자극적인 나라 :짐 로저스의 어떤 예견,male,50
9,9791130620459,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구,male,50
10,9788954655699,연필로 쓰기 :김훈 산문,male,50
11,9788965705451,미중전쟁 :김진명 장편소설,male,50
12,9791187192466,예언 =Prediction,male,50
13,9788971998557,역사의 역사 =History of writing history,male,50
14,9788973377947,(趙廷來 大河小說) 太白山脈,male,50
14,9791187481539,앞으로 5년 한국의 미래 시나리오,male,50
16,9791187498384,고요할수록 밝아지는 것들 :혜민 스님과 함께 지혜와 평온으로 가는 길,male,50
17,9791135422225,(50대 사건으로 보는) 돈의 역사 =The history of money,male,50
18,9788937473135,82년생 김지영 :조남주 장편소설,male,50
18,9788965746669,당신이 옳다 :정혜신의 적정심리학,male,50
20,9788965708056,이게 경제다 :한국 경제가 확 잡히는 최배근 교수의 팩트 저격,male,50
1,9788965746843,천년의 질문 :조정래 장편소설,male,60
2,9788965746836,천년의 질문 :조정래 장편소설,male,60
3,9788965746829,천년의 질문 :조정래 장편소설,male,60
4,9788965705468,미중전쟁 :김진명 장편소설,male,60
5,9788965705451,미중전쟁 :김진명 장편소설,male,60
6,9788934995791,대변동 :무엇을 선택하고 어떻게 변화할 것인가,male,60
