prank,isbn,name,gender
1,9780545010221,Harry Potter and the deathly hallows,male
2,9780439139601,Harry Potter and the goblet of fire,male
3,9788930219556,Why? 소프트웨어와 코딩,male
4,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설,male
5,9788949121819,바꿔! - 2018 황금도깨비상 수상작,male
6,9788930219563,Why? 마술과학,male
6,9788930219600,Why? 아마존,male
8,8809105873036,이웃집 토토로,male
8,9788928302765,용돈 지갑에 구멍났나?,male
8,9788930202701,Why? 실험관찰,male
8,9788930206877,Why? 극지 탐험,male
8,9788930219617,Why? 과학 법칙,male
8,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문",male
8,9788952760739,나는 용감한 잭 임금님,male
8,9788952773104,13층 나무 집,male
8,9788959776573,뻐꾸기 시계의 비밀,male
8,9788964359211,용선생 만화 한국사:,male
8,9788965746843,천년의 질문 :조정래 장편소설,male
8,9788973378319,한강:趙廷來 大河小說,male
8,9788993055207,윔피 키드,male
1,9780439784542,Harry Potter and the half-blood prince,female
2,9788937473135,82년생 김지영 :조남주 장편소설,female
2,9788954646079,바깥은 여름 :김애란 소설,female
4,9788936434267,아몬드 (양장 특별 한정판),female
5,9788936434120,소년이 온다 :한강 장편소설,female
5,9788971995945,세상은 어떻게 뉴스가 될까 :커뮤니케이션으로서의 뉴스,female
5,9791195522125,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다,female
8,9788937473173,딸에 대하여 :김혜진 장편소설,female
8,9788952781505,26층 나무 집,female
8,9788972757573,라플라스의 마녀 :히가시노 게이고 장편소설,female
8,9791196394509,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이,female
12,9788937847004,윔피 키드,female
12,9788952709738,"조금만, 조금만 더",female
12,9788952781598,39층 나무 집,female
12,9788952784933,78층 나무 집,female
12,9788994356174,홈 패션 DIY :행복을 바느질하다,female
17,9780448466330,Young Cam Jansen & the Zoo Note Mystery (Paperback),female
17,9788901068596,나쁜 어린이표 - 웅진 푸른교실 1,female
17,9788901121390,기분을 말해 봐!,female
17,9788901223032,하마터면 열심히 살 뻔했다 :야매 득도 에세이,female
