rank,isbn,name
1,9780439784542,Harry Potter and the half-blood prince
1,9780545010221,Harry Potter and the deathly hallows
3,9780439139601,Harry Potter and the goblet of fire
3,9788937473135,82년생 김지영 :조남주 장편소설
5,9788949121819,바꿔! - 2018 황금도깨비상 수상작
6,9788934972464,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문"
6,9788954646079,바깥은 여름 :김애란 소설
6,9788972756194,나미야 잡화점의 기적 :히가시노 게이고 장편소설
9,9788930219556,Why? 소프트웨어와 코딩
9,9788972757573,라플라스의 마녀 :히가시노 게이고 장편소설
11,9788936434120,소년이 온다 :한강 장편소설
11,9788952773104,13층 나무 집
11,9788971995945,세상은 어떻게 뉴스가 될까 :커뮤니케이션으로서의 뉴스
11,9791195522125,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다
15,9788901068596,나쁜 어린이표 - 웅진 푸른교실 1
15,9788934982975,21세기를 위한 21가지 제언 :더 나은 오늘은 어떻게 가능한가
15,9788936434267,아몬드 (양장 특별 한정판)
15,9788937847004,윔피 키드
15,9788952781598,39층 나무 집
15,9788960516175,"검사내전 :생활형 검사의 사람 공부, 세상 공부"
