isbn,name,writer,company,pyear,KDC,img
2013122800001,오르다 첫발견,까롤린 알레르 글;끌로드 드라포스;갈리마르 출판사 [공] 기획;우테 퓨르;라울 쏘때 [공] 그림,NA,2010,82,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
2013122800002,오르다 첫발견,끌로드 드라포스;갈리마르 출판사 [공] 기획;까롤린 알레르 글;삐에르 드 유고 그림,NA,2012,82,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
2013122800006,오르다 첫발견,끌로드 드라포스;갈리마르 출판사 [공] 기획;까롤린 알레르 글;싸빈 끄라우지 그림,NA,2012,82,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
2013122800012,오르다 첫발견,끌로드 드라포스;갈리마르 출판사 [공] 기획;싸빈 끄라우직 그림,NA,2012,82,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
2013122800021,오르다 첫발견,르네 메뜰레;갈리마르 출판사 [공] 기획;르네 메뜰레 그림,NA,2012,82,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
2013122800041,오르다 첫발견,장 삐에르 베르데;갈리마르 출판 [공동] 기획;쎌린 부르-숄레;다니엘 무와노;도날드 그랑 그림,NA,2012,82,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
2013122800076,오르다 첫발견,장 - 필립 샤보;프레데릭 소르비에;갈리마르 출판사 [공] 기획;장 - 필립 샤보 그림,NA,2012,82,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
2013122800077,오르다 첫발견,끌로드 드라포스;갈리마르 출판사 [공] 기획;토니 로스 그림,NA,2012,82,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8803610021180,아기공룡 버디,미라클 제작,미라클 에듀테인먼트,2011,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8803610031028,뽀롱뽀롱 뽀로로 똑똑박사 에디,EBS 제작,대윤미디어,2011,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
8809036445562,점박이: 한반도의 공룡,"한상호 감독, 구자형 외 목소리",이엔이미디어,2013,688.6,http://image.kyobobook.co.kr/newimages/apps/b2b_academy/common/noimage_150_215.gif
