isbn,name,nonhyeon,daechi,dogog,mosgol,han-og,yeogsam,puleunsol,jeongdaun,jeulgeoun,cheongdam,haengboghan,gangnam,gaepo
2013122800001,오르다 첫발견,0,0,0,0,0,0,0,0,0,0,0,0,0
2013122800002,오르다 첫발견,0,0,0,0,0,0,0,0,0,0,0,0,0
2013122800006,오르다 첫발견,0,0,0,0,0,0,0,0,0,0,0,0,0
2013122800012,오르다 첫발견,0,0,0,0,0,0,0,0,0,0,0,0,0
2013122800021,오르다 첫발견,0,0,0,0,0,0,0,0,0,0,0,0,0
2013122800041,오르다 첫발견,0,0,0,0,0,0,0,0,0,0,0,0,0
2013122800076,오르다 첫발견,0,0,0,0,0,0,0,0,0,0,0,0,0
2013122800077,오르다 첫발견,0,0,0,0,0,0,0,0,0,0,0,0,0
8803610021180,아기공룡 버디,0,0,0,0,0,0,0,0,0,0,0,0,0
8803610031028,뽀롱뽀롱 뽀로로 똑똑박사 에디,0,0,0,0,0,0,0,0,0,0,0,0,0
8809036445562,점박이: 한반도의 공룡,0,0,0,0,0,0,0,0,0,0,0,0,0
8809077324666,오스카의 오아시스,0,0,0,0,0,0,0,0,0,0,0,0,0
8809079265042,립프로그 1집 19종세트 (19disc: 9DVD+10CD) - 대본 9권,0,0,0,0,0,0,0,0,0,0,0,0,0
8809079265127,바다탐험대 옥토넛 2집 20종세트 (20disc: 10DVD+10CD) - 바닷속 생물 포스터,0,0,0,0,0,0,0,0,0,0,0,0,0
8809079265233,"슈퍼윙스 1집 14종세트 (7DVD+7CD)	 - EBS 인기 방영작! 대한민국 콘텐츠 대통령상 수상작!",0,0,0,0,0,0,0,0,0,0,0,0,0
8809079265479,클로이의 요술 옷장,0,0,0,0,0,0,0,0,0,0,0,0,0
8809090267353,제임스와 거대한 복숭아,0,0,0,0,0,0,0,0,0,0,0,0,1
8809090268930,노틀담의 꼽추,0,0,0,0,0,0,0,0,0,0,0,0,0
8809104051305,플란다스의 개 - [초특가판] 애니메이션,0,0,0,0,0,0,0,0,0,0,0,0,0
8809105873012,센과 치히로의 행방불명 보정판 (2disc) - DTS-ES,0,0,0,0,0,0,0,0,0,0,0,0,0
8809105873036,이웃집 토토로,0,0,0,0,0,0,0,0,0,0,0,1,1
8809105873081,모노노케 히메,0,0,0,0,0,0,0,0,0,0,0,1,1
8809105873128,고양이의 보은 [dts](2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809105873241,천공의 성 라퓨타,0,0,0,0,0,0,0,0,0,0,0,0,0
8809105873333,하울의 움직이는 성 일반판 (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809105873951,귀를 기울이면 (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809105873968,마녀배달부 키키,0,0,0,0,0,0,0,0,0,0,0,0,0
8809105879052,벼랑위의 포뇨 (2DISC),0,0,0,0,0,0,0,0,0,0,0,0,0
8809105879618,코쿠리코 언덕에서 (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809105879793,곤(GON) Vol.2 - EBS 인기 방영작,0,0,0,0,0,0,0,0,0,0,0,0,0
8809116481039,르누아르,0,0,0,0,0,0,0,0,0,0,0,0,1
8809130054561,도라 익스플로러,0,0,0,0,0,0,0,0,0,0,0,0,0
8809130054578,도라 익스플로러,0,0,0,0,0,0,0,0,0,0,0,0,0
8809154126404,더 코브:슬픈 돌고래의 진실,0,0,0,0,0,0,0,0,0,0,0,1,1
8809154128743,수영장 SE (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809154129009,엄마 까투리,0,0,0,0,0,0,0,0,0,0,0,1,1
8809154147553,러브레터 : HD 리마스터링 (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809192648364,아이언 맨,0,0,0,0,0,0,0,0,0,0,0,0,0
8809192648500,드래곤 길들이기,0,0,0,0,0,0,0,0,0,0,0,0,0
8809192649484,메가마인드,0,0,0,0,0,0,0,0,0,0,0,1,1
8809194306118,닥터 지바고,0,0,0,0,0,0,0,0,0,0,0,1,0
8809226831205,부니 베어: 롤라 구출 대모험 - 한국어 더빙판,0,0,0,0,0,0,0,0,0,0,0,0,0
8809234760719,렛미인 한정판 (디지팩),0,0,0,0,0,0,0,0,0,0,0,0,0
8809234765141,"하늘을 나는 강아지, 비포와 친구들 : 한국어 더빙판",0,0,0,0,0,0,0,0,0,0,0,0,0
8809234765202,그녀,0,0,0,0,0,0,0,0,0,0,0,1,1
8809234767121,구름빵 영어나라,0,0,0,0,0,0,0,0,0,0,0,0,0
8809246771079,BBC 셜록 (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809255212907,최강 변신 트랜스 다이노봇 종이접기,0,0,0,0,0,0,0,0,0,0,0,0,0
8809270741246,무민가족의 한여름 대소동 : 한국어 더빙판,0,0,0,0,0,0,0,0,0,0,0,0,0
8809270742113,론 서바이버 (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809270743004,해적: 바다로 간 산적 - 초회한정판 (2disc+52p 화보집),0,0,0,0,0,0,0,0,0,0,0,0,0
8809270743783,토미카 무비 : 한국어 더빙판,0,0,0,0,0,0,0,0,0,0,0,0,0
8809270747330,조선 마술사 : 초회 한정판 (2disc) - 화보집(36p)+엽서(4종),0,0,0,0,0,0,0,0,0,0,0,0,0
8809270747439,고스트 헌터: 얼음 몬스터의 부활 - 한국어 더빙 수록,0,0,0,0,0,0,0,0,0,0,0,0,0
8809270747880,빅,0,0,0,0,0,0,0,0,0,0,0,0,0
8809270748481,슬레이브 워,0,0,0,0,0,0,0,0,0,0,0,0,0
8809270749709,레오나르도 다빈치,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274080617,니모를 찾아서,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274081867,뉴문:트와일라잇-두번째 신화,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274082192,토이스토리,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274082208,토이스토리,0,0,0,0,0,0,0,0,0,0,0,0,1
8809274082482,인크레더블 - 아웃케이스 없음,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274082932,월-E (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809274082956,라따뚜이 - 할인행사,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274083175,토이 스토리,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274084479,트론 : 새로운 시작,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274084516,라푼젤,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274085179,로보카 폴리 : 1탄,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274085902,고지전 (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809274085926,마당을 나온 암탉,0,0,0,0,0,0,0,0,0,0,0,1,1
8809274086190,포카혼타스,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274087104,토이 스토리 2 SE - 아웃케이스 없음,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274087203,로보카 폴리 : 5탄,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274088842,어벤져스,0,0,0,0,0,0,0,0,0,0,0,1,1
8809274089801,도둑들,0,0,0,0,0,0,0,0,0,0,0,0,0
8809274089832,트와일라잇(1disc) - 아웃케이스 없음,0,0,0,0,0,0,0,0,0,0,0,0,0
8809276102416,늑대아이,0,0,0,0,0,0,0,0,0,0,0,1,1
8809276102683,명탐정 코난:베이커가의 망령,0,0,0,0,0,0,0,0,0,0,0,0,1
8809276102737,명탐정 코난: 수평선상의 음모 - 한국어 더빙판,0,0,0,0,0,0,0,0,0,0,0,0,0
8809276102850,극장판 명탐정 코난: 탐정들의 진혼가 - 한국어 더빙판,0,0,0,0,0,0,0,0,0,0,0,0,0
8809276104458,해어화 (2disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809276105097,괴물의 아이 - 한국어 더빙 수록,0,0,0,0,0,0,0,0,0,0,0,0,0
8809276106230,덕구,0,0,0,0,0,0,0,0,0,0,0,1,0
8809276106414,이 세상의 한구석에,0,0,0,0,0,0,0,0,0,0,0,1,0
8809276106421,몬스터 패밀리,0,0,0,0,0,0,0,0,0,0,0,1,0
8809276106919,헌터킬러,0,0,0,0,0,0,0,0,0,0,0,0,0
8809276108364,명탐정 코난: 순흑의 악몽,0,0,0,0,0,0,0,0,0,0,0,0,0
8809276108395,명탐정 코난 : 에피소드 원 [한국어 더빙판],0,0,0,0,0,0,0,0,0,0,0,0,0
8809306450159,토르:천둥의 신,0,0,0,0,0,0,0,0,0,0,0,1,1
8809306450432,퍼스트어벤져 (1disc),0,0,0,0,0,0,0,0,0,0,0,0,0
8809306450654,세얼간이 - 인도판,0,0,0,0,0,0,0,0,0,0,0,0,0
8809306452825,밀림의 왕자 레오 2 : 극장판 - 한국어 더빙 수록,0,0,0,0,0,0,0,0,0,0,0,0,0
8809306453075,아무르,0,0,0,0,0,0,0,0,0,0,0,1,1
8809306455277,그렇게 아버지가 된다 - 아웃케이스 없음,0,0,0,0,0,0,0,0,0,0,0,0,0
8809306455949,넛잡: 땅콩 도둑들 - 한국어 더빙 수록,0,0,0,0,0,0,0,0,0,0,0,0,0
8809306456168,시간을 달리는 소녀 (3disc 일반판) - 본편 + 디렉션파일 + 콘티 디스크,0,0,0,0,0,0,0,0,0,0,0,0,0
8809306456939,마야 - 한국어 더빙 수록,0,0,0,0,0,0,0,0,0,0,0,0,0
8809306458575,바닷마을 다이어리 - 미니 포토 카드(8종),0,0,0,0,0,0,0,0,0,0,0,0,0
